movieid,label
1,c
2,p
3,c
4,a
5,p
7,c
8,a
9,a
10,p
12,a
13,a
15,a
16,c
17,c
18,e
19,a
20,c
21,e
22,e
23,p
24,e
25,e
26,e
31,p
35,c
36,e
38,a
39,c
40,a
41,a
42,a
43,e
44,p
45,e
46,c
48,a
49,c
52,a
53,a
55,a
57,p
62,a
63,a
65,a
66,p
67,a
69,a
70,e
71,e
72,a
74,c
75,a
76,e
81,e
83,e
85,a
86,a
88,c
89,a
91,a
92,a
93,a
94,e
95,a
97,e
99,e
100,p
102,a
103,p
106,p
109,a
110,e
113,a
121,c
124,c
128,c
134,a
135,a
144,e
148,e
150,e
152,p
153,a
154,a
155,e
156,a
157,a
159,c
160,c
161,a
162,e
163,c
166,a
167,c
168,a
170,a
171,p
172,e
173,a
174,e
175,e
176,a
177,a
178,c
179,a
180,p
183,a
185,c
186,a
188,a
189,a
192,a
193,e
195,e
197,p
200,a
201,a
203,a
204,a
207,p
214,c
215,a
217,c
220,a
225,a
227,c
228,d
229,a
231,c
232,a
233,e
235,p
238,a
244,c
245,c
247,c
250,a
251,a
254,a
255,a
257,p
259,c
261,a
264,c
268,a
269,a
273,a
274,c
275,c
277,a
278,a
279,c
280,c
286,e
287,a
288,c
289,c
290,p
297,a
298,p
310,a
314,p
317,e
318,a
324,e
326,p
329,c
330,a
331,a
334,p
335,e
336,c
339,c
341,a
344,c
345,c
346,a
348,a
349,a
351,c
353,e
354,c
355,a
358,c
362,a
365,a
366,a
367,c
369,c
376,p
377,p
378,a
379,a
380,c
390,a
391,a
407,e
410,c
412,a
413,e
414,e
417,c
418,e
420,a
422,a
423,a
424,c
428,c
429,a
431,a
432,a
433,a
437,c
438,e
439,p
441,a
442,a
445,a
448,c
452,a
453,e
455,a
457,a
458,a
461,a
462,a
463,c
464,c
467,a
469,e
471,a
472,a
477,p
478,e
480,d
481,a
482,a
485,a
486,a
487,a
489,a
490,p
491,p
493,a
494,c
496,a
497,c
502,a
503,a
505,e
510,p
513,a
514,p
516,p
517,a
518,e
519,d
520,a
521,a
524,c
526,a
