id,name,gender
559,"50 Cent",m
1187,"Aames, Willie",m
1484,"Aaron, Nicholas",m
2354,"Abatantuono, Diego",m
3003,"Abbott Jr., Michael",m
3038,"Abbott, Bruce",m
3041,"Abbott, Bud",m
3382,"Abbruzzese, Salvatore",m
4211,"Abdul-Jabbar, Kareem",m
4978,"Abel, Alfred",m
5106,"Abel, Walter",m
6091,"Abkarian, Simon",m
6529,"AboulEla, Amir",m
6699,"Abraham, F. Murray",m
6931,"Abrahams, Jon",m
7945,"Abry, Jonas",m
8186,"Abu-Aiaash, Hamza",m
8766,"Acciarito, Frankie",m
9533,"Acheson, James",m
9537,"Acheson, Mark",m
9836,"Acker, Antony",m
10150,"Ackland, Joss",m
12760,"Adams, Evan",m
13338,"Adams, Lloyd",m
13572,"Adams, Nick",m
14729,"Addie, Robert",m
14951,"Addy, Mark",m
14957,"Addy, Wesley",m
15023,"Adebimpe, Tunde",m
15242,"Adelin, Jean-Claude",m
15595,"Adet, Georges",m
16433,"Adler, Jerry",m
16486,"Adler, Luther",m
16496,"Adler, Michael",m
16918,"Adorf, Mario",m
17138,"Adrian, Max",m
17323,"Adu, Frank",m
17838,"Affleck, Ben",m
17842,"Affleck, Casey",m
17848,"Affleck, Neil",m
18582,"Agar, John",m
18945,"Agee, Arthur",m
22262,"Aherne, Brian",m
23853,"Ahola, Jouko",m
24458,"Aidman, Charles",m
24491,"Aiello, Danny",m
24678,"Aikawa, ShÃ´",m
24725,"Aiken, Liam",m
24810,"Aikman, Luke",m
25344,"Aisbett, Mark",m
26338,"Akan, Tarik",m
27274,"Akhzam, Mohamed",m
27289,"Aki, Michael",m
27504,"Akin, Philip",m
27586,"Akinnuoye-Agbaje, Adewale",m
27618,"Akins, Claude",m
29276,"Al-Amir, Hudhail",m
31113,"Alano, Boy",m
31691,"Alazraqui, Carlos",m
32608,"Albert, Eddie",m
32611,"Albert, Edward",m
33195,"Albertson, Frank",m
33199,"Albertson, Jack",m
33377,"Albiol, Francesc",m
33754,"Albright, Joey",m
34717,"Alda, Alan",m
34727,"Alda, Robert",m
34983,"Alden, Norman",m
35027,"Alder, Don",m
35198,"Alderton, John",m
35434,"Aldrich, Mark",m
35696,"Aledori, Muki",m
36517,"Aleong, Aki",m
36564,"Ales, John",m
37359,"Alexander, Clair D.",m
37460,"Alexander, David",m
37506,"Alexander, Dean",m
37824,"Alexander, Jason",m
37902,"Alexander, John",m
38280,"Alexander, Newell",m
38648,"Alexander, Terry",m
39227,"Alexio, Dennis",m
39274,"Alexis, Alvin",m
41051,"Ali, Muhammad",m
42730,Allakariallak,m
43371,Allee,m
43833,"Allen, Chad",m
44393,"Allen, George",m
44675,"Allen, Jeffrey",m
44707,"Allen, Jim",m
45393,"Allen, Paul G.",m
45476,"Allen, Rex",m
45481,"Allen, Richard 'Pistol'",m
45899,"Allen, Tim",m
45933,"Allen, Todd",m
46098,"Allen, Woody",m
46775,"Allison, Keith",m
47142,"Allred, Corbin",m
49854,"Alscher, Joshua",m
50800,"Altin, Josef",m
50925,"Altman, Bruce",m
51966,"Alvarez, Abraham",m
52306,"Alvarez, Irineo",m
54169,"Amalric, Mathieu",m
54976,"Amata, Fred",m
55627,"Ambrose, Chris",m
55895,"Ambudkar, Utkarsh",m
55944,"Ameche, Don",m
56664,"Amezcua, Carlos",m
58407,"Amos, John",m
58568,"Ampaw, King",m
60659,"Anders, Ruben",m
61344,"Anderson III, Shedrack",m
61358,"Anderson Jr., Michael",m
61523,"Anderson, Anthony",m
61850,"Anderson, Carl",m
62440,"Anderson, Eddie 'Rochester'",m
62884,"Anderson, J.J.",m
63066,"Anderson, Jeff",m
63191,"Anderson, Joe",m
63487,"Anderson, Kenneth",m
63512,"Anderson, Kevin",m
64030,"Anderson, Myles",m
64039,"Anderson, Nathan",m
65011,"Anderson, Warner",m
67557,"Andrews, Anthony",m
67603,"Andrews, Bobby",m
67709,"Andrews, Dana",m
67729,"Andrews, David",m
67754,"Andrews, Dean",m
67849,"Andrews, Giuseppe",m
67865,"Andrews, Harry",m
67913,"Andrews, Jason",m
68164,"Andrews, Naveen",m
68330,"Andrews, Shawn",m
68671,"Andrieu, Sebastien",m
68743,"Andriole, David",m
69281,"AndrÃ©i, FrÃ©dÃ©ric",m
69794,"Angarano, Michael",m
69932,"Angel, Jack",m
70388,"Angelis, Paul",m
70436,"Angell, Vincent",m
71067,"Anglade, Jean-Hugues",m
71277,"Angstreich, Jack",m
71563,"Anholt, Christien",m
72141,"Ankrum, Morris",m
72233,"Annabelle, Ron",m
72605,"Anoai, Afa",m
72857,"Ansara, Michael",m
73102,"Ansen, David",m
73318,"Ant, Adam",m
74174,"Anthony, Marc",m
74198,"Anthony, Mark",m
75351,"Antoni, George",m
75647,"Antonio, Lou",m
76966,"Anzilotti, Perry",m
77860,"Apisa, Robert",m
80029,"Arahanga, Julian",m
80515,"Arana, Tomas",m
81271,"Araujo, Paulo",m
81445,"Araya, Tom",m
82584,"Archer, John",m
82757,"Archibald, Craig",m
83471,"Ardito, Gino",m
84094,"Arend, Geoffrey",m
84168,"Arenivar, Jorge",m
84169,"Arenivar, Ubaldo",m
84623,"Argenziano, Carmen",m
84680,"Argiro, Vinny",m
84720,"Argo, Victor",m
86380,"Arkin, Adam",m
86381,"Arkin, Alan",m
86383,"Arkin, Anthony",m
86388,"Arkin, David",m
86523,"Arlen, Richard",m
87083,"ArmendÃ¡riz, Pedro",m
87643,"Armstrong, Alexander",m
87802,"Armstrong, Curtis",m
88150,"Armstrong, Louis",m
88285,"Armstrong, R.G.",m
88314,"Armstrong, Robert",m
88417,"Armstrong, Todd",m
89039,"Arness, James",m
89114,"Arnett, Will",m
89233,"Arno, Frank",m
89493,"Arnold, Edward",m
89729,"Arnold, Madison",m
89730,"Arnold, Mal",m
89972,"Arnold, Tom",m
90111,"Arnott, David",m
91040,"Arquette, David",m
94831,"Asano, Tadanobu",m
95846,"Ashbrook, Dana",m
95954,"Ashby, Linden",m
96376,"Ashford, Jack",m
96558,"Ashkenazi, Lior",m
96585,"Ashker, John",m
96686,"Ashley, Edward",m
97183,"Ashton, John",m
97779,"Askew, Desmond",m
98266,"Asnes, Andrew",m
98663,"Assa, RenÃ©",m
98791,"Assante, Armand",m
99281,"Astaire, Fred",m
99406,"Asther, Nils",m
99453,"Astin, Mackenzie",m
99457,"Astin, Sean",m
99458,"Astin, Skylar",m
100645,"Ates, Roscoe",m
100917,"Atherton, William",m
101210,"Atkin, Harvey",m
101551,"Atkins, Tom",m
101860,"Atkinson, Rowan",m
102342,"Attal, Yvan",m
102497,"Attenborough, Richard",m
102623,"Attifi, Mohamed",m
102710,"Attles, Joseph",m
102944,"Atwill, Lionel",m
103240,"Auberjonois, Rene",m
103429,"Aubrey, James",m
103604,"Auclair, Michel",m
103975,"Auer, Mischa",m
104032,"Auerbach, Red",m
104368,"August, John",m
105087,"Aumont, Jean-Pierre",m
105836,"Austin, Dave",m
106066,"Austin, Kenneth",m
106494,"Auteuil, Daniel",m
106891,"Avalon, Frankie",m
107692,"Avery II, Lloyd",m
107915,"Avery, Val",m
108374,"Aviles, Rick",m
109500,"Axton, Hoyt",m
110308,"Ayer, Harold",m
110606,"Aykroyd, Dan",m
111027,"Ayres, Lew",m
111588,"Azaria, Hank",m
112039,"Azito, Tony",m
113972,"BabatundÃ©, Obba",m
114144,"Babbitt, Bob",m
114419,"Babic, Alex",m
114728,"Babluani, George",m
115606,"Bach, Leroy",m
115721,"Bachar, Dian",m
115748,"Bachchan, Abhishek",m
116566,"Backus, David",m
116582,"Backus, Jim",m
116603,"Backy, Don",m
116733,"Bacon, Kevin",m
116763,"Bacon, Nick",m
117160,"Baddeley, Gavin",m
118470,"Baessato, Giacomo",m
118876,"Bagby, Larry",m
119577,"Bagneris, Vernel",m
120139,"Bahl, Mohnish",m
121307,"Bailey, Eion",m
121347,"Bailey, G.W.",m
122828,"Baio, Scott",m
123895,"Baker III, James",m
124489,"Baker, Dee Bradley",m
124574,"Baker, Dylan",m
124952,"Baker, Joe Don",m
125128,"Baker, Kenny",m
125489,"Baker, Paul",m
125552,"Baker, Ray",m
125812,"Baker, Simon",m
125826,"Baker, Stanley",m
126839,"Bakula, Scott",m
127015,"Balaban, Bob",m
127897,"Balchen, Bernt",m
128636,"Baldwin, A. Michael",m
128639,"Baldwin, Adam",m
128645,"Baldwin, Alec",m
128741,"Baldwin, Daniel",m
129026,"Baldwin, Stephen",m
129071,"Baldwin, William",m
129112,"Bale, Christian",m
130218,"Ball, Nicholas",m
130839,"Ballas, Nicholas",m
132013,"Balsam, Martin",m
132421,"Baltz, Kirk",m
132941,"Bambridge, Bill",m
133171,"Bana, Eric",m
133453,"Bancroft, Cameron",m
133462,"Bancroft, George",m
133985,"Banderas, Antonio",m
135125,"Banham, Russ",m
135518,"Banks, Boyd",m
135770,"Banks, Jonathan",m
136152,"Bannen, Ian",m
136231,"Bannerjee, Kanu",m
136395,"Bannister, Reggie",m
136734,"Banton, Buju",m
138596,"Barbareschi, Luca",m
139392,"Barberini, Urbano",m
140065,"Barbour, Bruce Paul",m
140947,"Bardem, Javier",m
144932,"Barnes, T. Roy",m
145140,"Barnett, Charlie",m
145317,"Barnett, Ken",m
146039,"Baron Cohen, Sacha",m
146048,"Baron, Allen",m
146270,"Baron, Sandy",m
146393,"Barone, Jerry",m
146754,"Barr, Douglas",m
146800,"Barr, Jean-Marc",m
148219,"Barrett, Dan",m
148483,"Barrett, Mark",m
148584,"Barrett, Ray",m
148742,"Barretta, Bill",m
148880,"Barrie, Chris",m
148983,"Barrier, Edgar",m
149058,"Barrile, Anthony",m
150445,"Barry, Glen",m
150482,"Barry, Jason",m
150691,"Barry, Raymond J.",m
150824,"Barrymore, John",m
150828,"Barrymore, Lionel",m
151170,"Bart, Roger",m
151309,"Bartel, Paul",m
151628,"Bartha, Justin",m
151701,"Barthelmess, Richard",m
151725,"Barthmuss, Dave",m
151789,"Bartholomew, Freddie",m
152468,"Bartold, Norman",m
153233,"Bartram, Clark",m
153370,"Barty, Billy",m
153509,"Baruchel, Jay",m
153692,"Baryshnikov, Mikhail",m
154287,"Basehart, Richard",m
154573,"Bashir, Bilal",m
154833,"Basile, Salvatore",m
155028,"Baskett, James",m
155118,"Basler, Antoine",m
155254,"Basquez, Rudy",m
155685,"Bassermann, Albert",m
155836,"Bassett, William",m
157385,"Bateman, Jason",m
157519,"Bates, Alan",m
158180,"Bathurst, Robert",m
158232,"Batinkoff, Randall",m
159266,"Battisti, Carlo",m
159760,"Bauchau, Patrick",m
159768,"Baucher, Christian",m
159798,"Baucom, Bill",m
160081,"Bauer, Chris",m
160469,"Bauer, Steven",m
161180,"Baumbach, Jonathan",m
161227,"Baumel, Shane",m
162375,"Baxter, Alan",m
162759,"Baxter, Warner",m
164550,"Beach, Adam",m
164599,"Beach, Gary",m
164649,"Beach, Michael",m
164840,"Beagan, Niall",m
165479,"Bean, Sean",m
166454,"Beatles, The",m
166656,"Beattie, Michael",m
166808,"Beatty, Ned",m
166843,"Beatty, Warren",m
167250,"Beaudry, Michel",m
167323,"Beaujard, Alexandra",m
167417,"Beaulieu, Trace",m
168368,"Bechard, Marc",m
168898,"Beck, John",m
169010,"Beck, Michael",m
169141,"Beck, Stanley",m
169474,"Becker, Gerry",m
169627,"Becker, Kuno",m
170387,"Beckman, Ted",m
170601,"Beckwith, William",m
170901,"Bedella, David",m
170942,"Bedford Lloyd, John",m
170953,"Bedford, Brian",m
