movieid,moviename,year,genres
1,"Toy Story",1995,Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji,1995,Adventure|Children|Fantasy
3,"Grumpier Old Men",1995,Comedy|Romance
4,"Waiting to Exhale",1995,Comedy|Drama|Romance
5,"Father of the Bride Part II",1995,Comedy
7,Sabrina,1995,Comedy|Romance
8,"Tom and Huck",1995,Adventure|Children
9,"Sudden Death",1995,Action
10,GoldenEye,1995,Action|Adventure|Thriller
12,"Dracula: Dead and Loving It",1995,Comedy|Horror
13,Balto,1995,Animation|Children
15,"Cutthroat Island",1995,Action|Adventure|Romance
16,Casino,1995,Crime|Drama
17,"Sense and Sensibility",1995,Comedy|Drama|Romance
18,"Four Rooms",1995,Comedy|Drama|Thriller
19,"Ace Ventura: When Nature Calls",1995,Comedy
20,"Money Train",1995,Action|Comedy|Crime|Drama|Thriller
21,"Get Shorty",1995,Action|Comedy|Drama
22,Copycat,1995,Crime|Drama|Horror|Mystery|Thriller
23,Assassins,1995,Action|Crime|Thriller
24,Powder,1995,Drama|Sci-Fi
25,"Leaving Las Vegas",1995,Drama|Romance
26,Othello,1995,Drama
31,"Dangerous Minds",1995,Drama
35,Carrington,1995,Drama|Romance
36,"Dead Man Walking",1995,Crime|Drama
38,"It Takes Two",1995,Comedy
39,Clueless,1995,Comedy|Romance
40,"Cry, the Beloved Country",1995,Drama
41,"Richard III",1995,Drama|War
42,"Dead Presidents",1995,Action|Crime|Drama
43,Restoration,1995,Drama
44,"Mortal Kombat",1995,Action|Adventure|Fantasy
45,"To Die For",1995,Comedy|Drama|Thriller
46,"How to Make an American Quilt",1995,Drama|Romance
48,Pocahontas,1995,Animation|Children|Musical|Romance
49,"When Night Is Falling",1995,Drama|Romance
52,"Mighty Aphrodite",1995,Comedy|Drama|Romance
53,Lamerica,1994,Adventure|Drama
55,Georgia,1995,Drama
57,"Home for the Holidays",1995,Drama
62,"Mr. Holland's Opus",1995,Drama
63,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood",1996,Comedy|Crime
65,Bio-Dome,1996,Comedy
66,"Lawnmower Man 2: Beyond Cyberspace",1996,Action|Sci-Fi|Thriller
67,"Two Bits",1995,Drama
69,Friday,1995,Comedy
70,"From Dusk Till Dawn",1996,Action|Comedy|Horror|Thriller
71,"Fair Game",1995,Action
72,"Kicking and Screaming",1995,Comedy|Drama
74,"Bed of Roses",1996,Drama|Romance
75,"Big Bully",1996,Comedy|Drama
76,Screamers,1995,Action|Sci-Fi|Thriller
81,"Things to Do in Denver When You're Dead",1995,Crime|Drama|Romance
83,"Once Upon a Time... When We Were Colored",1995,Drama
85,"Angels and Insects",1995,Drama|Romance
86,"White Squall",1996,Adventure|Drama
88,"Black Sheep",1996,Comedy
89,"Nick of Time",1995,Action|Thriller
91,"Mary Reilly",1996,Drama|Horror|Thriller
92,"Vampire in Brooklyn",1995,Comedy|Romance
93,"Beautiful Girls",1996,Comedy|Drama|Romance
94,"Broken Arrow",1996,Action|Adventure|Thriller
95,"In the Bleak Midwinter",1995,Comedy|Drama
97,Shopping,1994,Action|Thriller
99,"City Hall",1996,Drama|Thriller
100,"Bottle Rocket",1996,Adventure|Comedy|Crime|Romance
102,Unforgettable,1996,Mystery|Sci-Fi|Thriller
103,"Happy Gilmore",1996,Comedy
106,"Muppet Treasure Island",1996,Adventure|Children|Comedy|Musical
109,Braveheart,1995,Action|Drama|War
110,"Taxi Driver",1976,Crime|Drama|Thriller
113,"Margaret's Museum",1995,Drama
121,Boomerang,1992,Comedy|Romance
124,"Flirting With Disaster",1996,Comedy
128,"Pie in the Sky",1996,Comedy|Romance
134,"Down Periscope",1996,Comedy
135,"From the Journals of Jean Seberg",1995,Documentary
144,"Bad Boys",1995,Action
148,Amateur,1994,Crime|Drama|Thriller
150,"Rob Roy",1995,Action|Drama|Romance|War
152,"Batman Forever",1995,Action|Adventure|Comedy|Crime
153,"Belle de jour",1967,Drama
154,"Beyond Rangoon",1995,Adventure|Drama|War
155,"Blue in the Face",1995,Comedy|Drama
156,"Canadian Bacon",1995,Comedy|War
157,Casper,1995,Adventure|Children
159,Congo,1995,Action|Adventure|Mystery|Sci-Fi
160,"Crimson Tide",1995,Drama|Thriller|War
161,Crumb,1994,Documentary
162,Desperado,1995,Action|Romance|Thriller
163,"Devil in a Blue Dress",1995,Crime|Film-Noir|Mystery|Thriller
166,"Feast of July",1995,Drama
167,"First Knight",1995,Action|Drama|Romance
168,"Free Willy 2: The Adventure Home",1995,Adventure|Children|Drama
170,Jeffrey,1995,Comedy|Drama
171,"Johnny Mnemonic",1995,Action|Sci-Fi|Thriller
172,"Judge Dredd",1995,Action|Crime|Sci-Fi
173,"Jury Duty",1995,Comedy
174,Kids,1995,Drama
175,"Living in Oblivion",1995,Comedy
176,"Lord of Illusions",1995,Horror
177,"Love & Human Remains",1993,Comedy|Drama
178,"Mad Love",1995,Drama|Romance
179,Mallrats,1995,Comedy
180,"Mighty Morphin Power Rangers: The Movie",1995,Action|Children
183,Nadja,1994,Drama
185,"Nine Months",1995,Comedy|Romance
186,"Party Girl",1995,Comedy
188,Reckless,1995,Comedy|Fantasy
189,Safe,1995,Thriller
192,Showgirls,1995,Drama
193,Smoke,1995,Comedy|Drama
195,Species,1995,Horror|Sci-Fi
197,"Strange Days",1995,Action|Crime|Drama|Mystery|Sci-Fi|Thriller
200,"Three Wishes",1995,Drama
201,"Total Eclipse",1995,Drama|Romance
203,"Under Siege 2: Dark Territory",1995,Action
204,"Unstrung Heroes",1995,Comedy|Drama
207,Waterworld,1995,Action|Adventure|Sci-Fi
214,"Before Sunrise",1995,Drama|Romance
215,"Billy Madison",1995,Comedy
217,"Boys on the Side",1995,Comedy|Drama
220,"Circle of Friends",1995,Drama|Romance
225,"Drop Zone",1994,Action|Thriller
227,"Death and the Maiden",1994,Drama|Thriller
228,"Dolores Claiborne",1995,Drama|Thriller
229,"Dumb & Dumber",1994,Comedy
231,Exotica,1994,Drama
232,"Exit to Eden",1994,Comedy
233,"Ed Wood",1994,Comedy|Drama
235,"Forget Paris",1995,Comedy|Romance
238,Hideaway,1995,Thriller
244,"Hoop Dreams",1994,Documentary
245,"Heavenly Creatures",1994,Crime|Drama|Fantasy|Romance|Thriller
247,"Immortal Beloved",1994,Drama|Romance
250,I.Q.,1994,Comedy|Romance
251,"Interview with the Vampire: The Vampire Chronicles",1994,Drama|Horror
254,Junior,1994,Comedy|Sci-Fi
255,"Just Cause",1995,Mystery|Thriller
257,"Kiss of Death",1995,Crime|Drama|Thriller
259,"Little Women",1994,Drama
261,"Ladybird Ladybird",1994,Drama
264,"Legends of the Fall",1994,Drama|Romance|War|Western
268,"Love Affair",1994,Drama|Romance
269,"Losing Isaiah",1995,Drama
273,"Mixed Nuts",1994,Comedy
274,"Milk Money",1994,Comedy|Romance
275,"Miracle on 34th Street",1994,Drama
277,"My Family",1995,Drama
278,"Murder in the First",1995,Drama|Thriller
279,"Nobody's Fool",1994,Comedy|Drama|Romance
280,Nell,1994,Drama
286,"Natural Born Killers",1994,Action|Crime|Thriller
287,"Only You",1994,Comedy|Romance
288,"Once Were Warriors",1994,Crime|Drama
289,"Poison Ivy II",1996,Drama|Thriller
290,Outbreak,1995,Action|Drama|Sci-Fi|Thriller
297,Priest,1994,Drama
298,"Quiz Show",1994,Drama
310,"Stuart Saves His Family",1995,Comedy
314,Stargate,1994,Action|Adventure|Sci-Fi
317,"Shallow Grave",1994,Comedy|Drama|Thriller
318,Suture,1993,Film-Noir|Thriller
324,"Tank Girl",1995,Action|Comedy|Musical|Sci-Fi
326,"Star Trek: Generations",1994,Action|Adventure|Drama|Sci-Fi
329,"Village of the Damned",1995,Horror|Sci-Fi
330,"Tommy Boy",1995,Comedy
331,"Vanya on 42nd Street",1994,Drama
334,"What's Eating Gilbert Grape",1993,Drama
335,Virtuosity,1995,Action|Sci-Fi|Thriller
336,"While You Were Sleeping",1995,Comedy|Romance
339,"Muriel's Wedding",1994,Comedy
341,"Ace Ventura: Pet Detective",1994,Comedy
344,"Bitter Moon",1992,Drama|Film-Noir
345,"Bullets Over Broadway",1994,Comedy
346,"Clear and Present Danger",1994,Action|Adventure|Thriller
348,"Corrina, Corrina",1994,Comedy|Drama|Romance
349,Crooklyn,1994,Comedy
351,Cobb,1994,Drama
353,"Forrest Gump",1994,Comedy|Drama|Romance|War
354,"Four Weddings and a Funeral",1994,Comedy|Romance
355,"Higher Learning",1995,Drama
358,"It Could Happen to You",1994,Comedy|Drama|Romance
362,"Little Buddha",1993,Drama
365,Maverick,1994,Adventure|Comedy|Western
366,"Mrs. Parker and the Vicious Circle",1994,Drama
367,"Naked Gun 33 1/3: The Final Insult",1994,Action|Comedy
369,"Reality Bites",1994,Comedy|Drama|Romance
376,Timecop,1994,Action|Sci-Fi|Thriller
377,"True Lies",1994,Action|Adventure|Comedy|Romance|Thriller
378,"When a Man Loves a Woman",1994,Drama
379,Wolf,1994,Drama|Horror|Romance|Thriller
380,"Wyatt Earp",1994,Western
390,"Street Fighter",1994,Action|Adventure|Fantasy
391,Coldblooded,1995,Comedy
407,"Addams Family Values",1993,Comedy
410,Airheads,1994,Comedy
412,"Another Stakeout",1993,Comedy|Thriller
413,"Bad Girls",1994,Western
414,Barcelona,1994,Comedy|Romance
417,"Beverly Hills Cop III",1994,Action|Comedy|Crime|Thriller
418,"Black Beauty",1994,Adventure|Children
420,"Blown Away",1994,Action|Thriller
422,"Blue Sky",1994,Drama|Romance
423,"Body Snatchers",1993,Horror|Sci-Fi|Thriller
424,"Boxing Helena",1993,Drama|Mystery|Romance|Thriller
428,"Carlito's Way",1993,Crime|Drama
429,"City Slickers II: The Legend of Curly's Gold",1994,Adventure|Comedy|Western
431,Cliffhanger,1993,Action|Adventure|Thriller
432,Coneheads,1993,Comedy|Sci-Fi
433,"Color of Night",1994,Drama|Thriller
437,Dave,1993,Comedy|Romance
438,"Dazed and Confused",1993,Comedy
439,"Demolition Man",1993,Action|Adventure|Sci-Fi
441,"Even Cowgirls Get the Blues",1993,Comedy|Romance
442,"Fatal Instinct",1993,Comedy
445,Fearless,1993,Drama
448,"Flesh and Bone",1993,Drama|Mystery|Romance
452,"Free Willy",1993,Adventure|Children|Drama
453,Fresh,1994,Crime|Drama|Thriller
455,"Geronimo: An American Legend",1993,Drama|Western
457,"Getting Even with Dad",1994,Comedy
458,"Go Fish",1994,Drama|Romance
461,"Hard Target",1993,Action|Adventure|Crime|Thriller
462,"Heaven & Earth",1993,Action|Drama|War
463,"Hot Shots! Part Deux",1993,Action|Comedy|War
464,"Live Nude Girls",1995,Comedy
467,"House Party 3",1994,Comedy
469,"I'll Do Anything",1994,Comedy|Drama
471,"In the Line of Fire",1993,Action|Thriller
472,"In the Name of the Father",1993,Drama
477,"Jurassic Park",1993,Action|Adventure|Sci-Fi|Thriller
478,Kalifornia,1993,Drama|Thriller
480,"King of the Hill",1993,Drama
481,Lassie,1994,Adventure|Children
482,"Last Action Hero",1993,Action|Adventure|Comedy|Fantasy
485,"M. Butterfly",1993,Drama
486,"Made in America",1993,Comedy
487,Malice,1993,Thriller
489,"Manhattan Murder Mystery",1993,Comedy|Mystery
490,"Menace II Society",1993,Action|Crime|Drama
491,"Executive Decision",1996,Action|Adventure|Thriller
493,"What Happened Was...",1994,Comedy|Drama|Romance
494,"Much Ado About Nothing",1993,Comedy|Romance
496,"Mr. Wonderful",1993,Comedy|Romance
497,"Mrs. Doubtfire",1993,Comedy|Drama
502,North,1994,Comedy
503,Orlando,1992,Drama
505,Philadelphia,1993,Drama
510,"Radioland Murders",1994,Comedy|Mystery|Romance
513,"Renaissance Man",1994,Comedy|Drama
514,"Rising Sun",1993,Action|Drama|Mystery
516,"RoboCop 3",1993,Crime|Sci-Fi|Thriller
517,"Robin Hood: Men in Tights",1993,Comedy
518,"Romeo Is Bleeding",1993,Crime|Thriller
519,"Romper Stomper",1992,Action|Drama
520,"Ruby in Paradise",1993,Drama
521,Rudy,1993,Drama
524,"Schindler's List",1993,Drama|War
526,"Searching for Bobby Fischer",1993,Drama
529,"Serial Mom",1994,Comedy|Crime|Horror
531,Shadowlands,1993,Drama|Romance
532,"Short Cuts",1993,Drama
535,"Six Degrees of Separation",1993,Drama
536,"Sleepless in Seattle",1993,Comedy|Drama|Romance
537,Sliver,1993,Thriller
538,"Blade Runner",1982,Adventure|Drama|Film-Noir|Sci-Fi|Thriller
539,"Son in Law",1993,Comedy
540,"So I Married an Axe Murderer",1993,Comedy|Romance|Thriller
541,"Striking Distance",1993,Action|Crime
543,"Super Mario Bros.",1993,Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
544,"Surviving the Game",1994,Action|Adventure|Thriller
545,"Terminal Velocity",1994,Action|Mystery|Thriller
547,Threesome,1994,Comedy|Romance
550,Tombstone,1993,Action|Drama|Western
551,"Trial by Jury",1994,Crime|Drama|Thriller
552,"True Romance",1993,Action|Crime|Romance
555,"Paris, France",1993,Comedy
558,"Welcome to the Dollhouse",1995,Comedy|Drama
559,Germinal,1993,Drama
561,Cronos,1993,Action|Drama|Horror
563,Kika,1993,Comedy|Drama
564,"Bhaji on the Beach",1993,Comedy|Drama
570,"Spanking the Monkey",1994,Comedy|Drama
581,"Home Alone",1990,Children|Comedy
583,Aladdin,1992,Adventure|Animation|Children|Comedy|Musical
584,"Terminator 2: Judgment Day",1991,Action|Sci-Fi
585,"Dances with Wolves",1990,Adventure|Drama|Western
587,Batman,1989,Action|Crime|Sci-Fi|Thriller
590,"Beauty and the Beast",1991,Animation|Children|Fantasy|Musical|Romance
592,"Pretty Woman",1990,Comedy|Romance
595,"Love and a .45",1994,Thriller
600,"One Fine Day",1996,Drama|Romance
601,"Candyman: Farewell to the Flesh",1995,Fantasy|Horror
