userid,movieid,tagid,timestamp
20,1684,877,"2007-08-27 18:17:47"
20,2341,2001,"2007-08-27 18:17:15"
20,2863,19,"2007-08-27 18:15:55"
20,2949,965,"2007-08-27 18:18:00"
20,7309,1009,"2007-08-27 18:16:41"
21,10021,2002,"2008-03-09 09:51:46"
25,6598,2003,"2006-10-29 11:40:21"
31,65,2004,"2007-08-27 18:15:59"
31,543,2005,"2007-08-27 18:14:34"
31,1070,2006,"2007-08-27 18:15:41"
31,6266,2007,"2007-08-27 18:14:04"
32,9707,2008,"2006-11-28 10:35:31"
39,275,215,"2007-08-27 18:16:31"
48,9984,2009,"2008-07-03 18:38:37"
49,197,2010,"2007-08-27 18:24:15"
49,259,2011,"2007-08-27 18:22:58"
49,1546,2012,"2007-08-27 18:21:35"
49,1670,2013,"2007-08-27 18:22:32"
49,1684,2014,"2007-08-27 18:24:16"
49,2341,2015,"2007-08-27 18:24:33"
49,2863,2016,"2007-08-27 18:22:04"
49,2949,2017,"2007-08-27 18:23:46"
49,7309,2013,"2007-08-27 18:22:46"
78,4132,2018,"2007-04-15 19:43:45"
109,36,293,"2008-05-21 22:13:55"
109,888,2019,"2006-12-07 22:21:21"
109,1194,2020,"2006-12-07 22:21:28"
109,1928,1028,"2007-07-11 08:16:28"
109,1929,1028,"2007-07-11 08:16:21"
109,1945,1121,"2006-12-07 22:20:48"
109,3003,210,"2006-12-07 22:20:40"
109,3315,2021,"2008-06-07 21:56:21"
109,3440,2022,"2006-12-07 22:21:31"
109,6620,1128,"2008-05-23 18:33:38"
109,7247,1128,"2008-05-23 18:33:32"
109,7274,1128,"2008-05-23 18:33:43"
109,8171,1128,"2006-12-07 22:20:26"
109,8207,368,"2006-12-07 22:12:44"
109,9016,232,"2006-12-07 22:20:18"
109,9137,1128,"2008-05-23 18:33:23"
109,9502,1058,"2007-05-29 18:19:49"
109,9865,111,"2007-07-11 08:05:48"
109,9946,2023,"2008-03-05 15:02:30"
127,1314,2024,"2007-08-27 18:42:27"
127,1997,864,"2007-08-27 18:42:47"
127,2869,2025,"2007-08-27 18:45:44"
127,4355,417,"2007-08-27 18:44:23"
127,7034,2026,"2007-08-27 18:43:28"
127,7920,2027,"2007-08-27 18:44:57"
133,1658,522,"2007-08-27 18:43:16"
133,7920,2028,"2007-08-27 18:42:56"
146,7,109,"2008-11-15 02:52:44"
146,10,406,"2007-12-01 07:04:11"
146,16,536,"2008-06-13 23:20:34"
146,26,109,"2008-03-29 02:20:29"
146,36,107,"2007-12-27 23:34:44"
146,41,109,"2008-03-29 02:25:10"
146,44,631,"2007-11-20 04:13:30"
146,62,503,"2008-03-03 11:47:53"
146,66,2029,"2007-11-20 20:55:57"
146,81,2030,"2008-09-08 06:17:13"
146,97,305,"2008-04-02 03:58:24"
146,100,2031,"2008-02-29 21:17:26"
146,106,406,"2007-12-01 17:10:16"
146,144,305,"2008-04-02 03:45:54"
146,159,107,"2006-10-30 20:16:56"
146,174,305,"2008-04-02 03:21:22"
146,192,2032,"2007-11-20 04:00:28"
146,207,132,"2007-12-01 06:28:03"
146,233,140,"2008-02-28 05:58:56"
146,238,2033,"2008-10-10 22:00:40"
146,251,107,"2006-10-30 19:41:42"
146,259,107,"2007-12-28 00:37:35"
146,286,903,"2006-05-27 04:10:44"
146,290,2034,"2008-04-18 19:13:30"
146,314,2035,"2008-03-29 00:57:38"
146,317,305,"2008-04-02 19:05:48"
146,324,2036,"2007-12-23 17:37:01"
146,326,942,"2007-10-17 04:26:21"
146,335,1087,"2007-11-20 03:28:10"
146,341,305,"2008-04-08 07:30:21"
146,346,107,"2008-05-09 20:04:59"
146,348,2037,"2007-10-07 02:54:37"
146,367,795,"2008-04-20 23:42:07"
146,431,2038,"2008-03-27 15:11:08"
146,442,770,"2008-04-21 00:00:15"
146,453,331,"2008-03-01 21:05:02"
146,467,2029,"2007-11-20 21:16:16"
146,472,107,"2008-09-22 22:11:36"
146,477,107,"2006-10-30 19:39:35"
146,478,903,"2008-05-08 01:46:13"
146,482,770,"2006-10-12 04:33:20"
146,494,109,"2008-03-29 02:23:07"
146,517,770,"2007-12-03 01:11:19"
146,521,1047,"2007-08-09 20:06:25"
146,531,109,"2008-05-22 21:30:10"
146,538,107,"2006-10-30 19:24:07"
146,550,2039,"2008-08-25 20:41:21"
146,561,305,"2008-04-02 19:52:21"
146,564,305,"2008-04-02 22:47:44"
146,570,2040,"2007-11-01 16:33:25"
146,587,2041,"2008-06-23 15:21:50"
146,622,107,"2008-10-03 21:44:35"
146,654,2042,"2007-06-27 21:05:19"
146,698,2043,"2008-04-08 09:08:53"
146,750,2032,"2007-11-20 19:46:41"
146,752,305,"2008-04-03 02:33:34"
146,789,305,"2008-04-03 01:43:46"
146,798,2029,"2007-11-20 20:59:05"
146,823,2044,"2007-11-22 18:46:21"
146,881,2045,"2008-04-08 07:40:04"
146,883,140,"2008-02-28 05:42:31"
146,896,140,"2008-02-28 05:07:38"
146,899,140,"2008-11-15 02:53:56"
146,904,140,"2008-02-28 05:13:42"
146,907,140,"2008-02-28 05:35:19"
146,908,107,"2006-10-30 19:57:50"
146,933,2046,"2007-12-15 01:51:40"
146,952,140,"2008-02-28 05:49:31"
146,955,109,"2008-02-27 05:56:48"
146,976,1047,"2007-08-09 20:03:36"
146,996,305,"2008-04-02 20:37:01"
146,999,2047,"2007-12-01 06:08:08"
146,1010,623,"2008-03-22 22:54:34"
146,1013,623,"2008-08-19 06:07:18"
146,1014,107,"2006-10-30 19:37:34"
146,1018,1022,"2007-11-24 22:41:48"
146,1053,107,"2006-10-30 19:29:50"
146,1068,354,"2007-12-15 06:12:51"
146,1075,107,"2008-09-01 04:58:36"
146,1114,2048,"2007-11-28 04:13:12"
146,1125,2049,"2008-03-11 22:37:23"
146,1153,305,"2008-04-02 22:39:10"
146,1156,140,"2008-02-28 05:38:52"
146,1170,107,"2008-03-11 23:31:03"
146,1183,107,"2006-10-30 19:43:38"
146,1185,2036,"2007-12-23 17:39:13"
146,1188,107,"2008-03-11 20:45:18"
146,1194,903,"2006-05-27 04:07:23"
146,1199,109,"2008-03-29 02:21:35"
146,1200,134,"2008-05-31 05:48:27"
146,1229,140,"2008-02-28 05:32:15"
146,1230,305,"2008-04-03 01:33:12"
146,1232,107,"2007-12-15 23:15:57"
146,1238,2050,"2008-04-07 04:11:32"
146,1241,503,"2007-12-17 04:33:32"
146,1243,503,"2007-11-28 04:31:39"
146,1251,770,"2007-12-03 01:24:18"
146,1261,685,"2007-11-22 19:11:42"
146,1266,134,"2007-11-22 06:38:35"
146,1273,2051,"2007-12-23 18:28:36"
146,1279,2037,"2007-12-04 20:13:30"
146,1283,2029,"2007-11-20 20:49:44"
146,1316,107,"2007-10-27 21:55:26"
146,1327,942,"2007-10-17 04:25:48"
146,1329,305,"2008-04-02 19:47:47"
146,1340,1022,"2007-11-24 22:43:31"
146,1342,942,"2007-10-17 04:25:19"
146,1345,2051,"2007-12-23 18:14:53"
146,1350,862,"2007-11-22 18:01:11"
146,1362,305,"2008-04-02 22:14:35"
146,1364,2039,"2008-08-25 20:42:13"
146,1366,484,"2007-12-23 21:34:52"
146,1371,835,"2007-11-22 06:46:51"
146,1373,305,"2008-04-02 19:56:16"
146,1379,109,"2008-03-29 02:21:02"
146,1380,305,"2008-04-03 02:14:27"
146,1386,87,"2008-06-16 02:02:40"
146,1425,595,"2008-05-12 21:22:52"
146,1444,107,"2008-05-21 19:14:43"
146,1448,1047,"2007-08-09 20:07:10"
146,1472,1100,"2008-03-13 19:09:35"
146,1567,107,"2007-12-15 23:00:03"
146,1597,2034,"2008-04-18 19:18:07"
146,1599,2033,"2008-10-10 21:59:40"
146,1617,674,"2007-11-26 04:11:36"
146,1620,2052,"2006-10-30 20:07:42"
146,1623,2029,"2007-11-20 20:51:39"
146,1625,631,"2007-11-20 04:13:45"
146,1646,2053,"2007-11-22 04:41:30"
146,1662,734,"2008-02-20 15:44:26"
146,1663,406,"2007-12-01 07:04:36"
146,1676,107,"2008-04-08 07:50:59"
146,1685,2054,"2007-11-22 05:31:55"
146,1690,847,"2007-11-20 03:29:41"
