movieid,actorid,actor_movie_rank
1,925996,1
1,45899,2
1,1915945,3
1,2366454,4
2,2474536,1
2,1044659,2
2,2899766,3
2,1798924,4
3,1463258,1
3,1313494,2
3,3304231,3
3,2596385,4
4,3113242,1
4,2642640,2
4,2870323,3
4,3623892,4
5,1444419,1
5,3190729,2
5,2102181,3
5,3916025,4
7,737113,1
7,3501181,2
7,1198397,3
7,3341936,4
8,2277140,1
8,1899945,2
8,2055157,3
8,1940080,4
9,2354209,1
9,243852,2
9,150691,3
9,3931053,4
10,285029,1
10,165479,2
10,3688670,3
10,3146358,4
12,1656833,1
12,1395123,2
12,2436957,3
12,3937362,4
13,116733,1
13,1019772,2
13,2959123,3
15,2843998,1
15,1558542,2
15,1276669,3
15,396705,4
16,542238,1
16,3767161,2
16,1782319,3
16,2498223,4
17,725861,1
17,2467415,2
17,3886115,3
17,3920933,4
18,2845163,1
18,2848371,2
18,3015969,3
18,3326099,4
19,358175,1
19,1500800,2
19,334011,3
19,682360,4
20,2149503,1
20,936871,2
20,3303116,3
20,221795,4
21,2312401,1
21,906691,2
21,3649029,3
21,571873,4
22,3894592,1
22,3121684,2
22,1605054,3
22,1500458,4
23,2177848,1
23,133985,2
23,3426176,3
23,531394,4
24,3757998,1
24,725106,2
24,971622,3
24,837734,4
25,328662,1
25,3713761,2
25,2016406,3
25,1327789,4
26,720541,1
26,3140053,2
26,265513,3
26,1745367,4
31,3544742,1
31,633897,2
31,2361684,3
31,2640860,4
35,3810650,1
35,1843550,2
35,2405636,3
35,2449630,4
36,3670798,1
36,1771377,2
36,1842087,3
36,150691,4
38,2580642,1
38,898960,2
38,3497273,3
38,3497067,4
39,3718668,1
39,2840409,2
39,3444948,3
39,1976748,4
40,1117875,1
40,939952,2
40,1249928,2
40,630676,3
40,2437591,3
40,3591820,4
41,1493948,1
41,2657985,2
41,280177,3
41,608635,4
42,2254125,1
42,523435,2
42,2325027,3
42,1945832,4
43,608635,1
43,1640610,2
43,2273306,3
43,3883612,4
44,1269964,1
44,2102558,2
44,95954,3
44,2240249,4
45,3202684,1
45,584294,2
45,1795681,3
45,17842,4
46,2817043,1
46,2817044,2
46,2745846,3
46,128639,4
48,2650596,1
48,3235697,2
48,817635,3
48,2197622,4
49,2729888,1
49,2818594,2
49,501003,3
49,745113,4
52,2678297,1
52,2762752,2
52,382771,3
52,539261,4
53,1349677,1
53,1810135,2
53,1537384,3
53,575538,4
55,3274062,1
55,3920860,2
55,1323887,3
55,1778293,4
57,3121684,1
57,608635,2
57,2630681,3
57,629063,4
62,613386,1
62,3078802,2
62,2276866,3
62,2897144,4
63,2433642,1
63,2433640,2
63,3165624,3
63,2168245,4
65,100917,1
65,2890500,2
65,3820035,3
65,2449272,4
66,192027,1
66,758327,2
66,1679511,3
66,3564480,4
67,146393,1
67,3360805,2
67,1724647,3
67,247476,4
69,1049512,1
69,2325027,2
69,3301462,3
69,1344242,4
70,431226,1
70,2251503,2
70,1167048,3
70,3283242,4
71,129071,1
71,2818340,2
71,193456,3
71,1484424,4
72,920457,1
72,856303,2
72,3193416,3
72,161180,4
74,2131839,1
74,3360720,2
74,2565099,3
74,282180,4
75,1579803,1
75,89972,2
75,3546252,3
75,3178827,4
76,2444074,1
76,627162,2
76,3643897,3
76,1287450,4
81,785961,1
81,1348940,2
81,740384,3
81,1675798,4
83,755327,1
83,3591011,2
83,1315857,3
83,3194633,4
85,1989321,1
85,3688730,2
85,3197281,3
85,1172612,4
86,276180,1
86,3019925,2
86,2031030,3
86,2490964,4
88,691328,1
88,2164793,2
88,1459482,3
88,2906468,4
89,565786,1
89,2772122,2
89,630676,3
89,2411110,4
91,3619702,1
91,1411574,2
91,439690,3
91,782247,4
92,1610040,1
92,2642640,2
92,1761161,3
92,932363,4
93,584294,1
93,660523,2
93,3009239,3
93,3105501,4
94,2312401,1
94,2131839,2
94,3362378,3
94,1339409,4
95,276577,1
95,2771704,2
95,2799477,3
95,692955,4
97,2974760,1
97,1290791,2
97,1781849,3
97,1080269,4
99,1724647,1
99,498837,2
99,2959123,3
99,24491,4
100,2480947,1
100,2481470,2
100,607955,3
100,2964775,4
102,1342347,1
102,2950858,2
102,477465,3
102,1484424,4
103,2015522,1
103,1484424,2
103,2697574,3
103,2646268,4
106,497768,1
109,1935821,1
109,1291400,2
109,1643185,3
109,468901,4
110,2558175,1
110,17323,2
110,84720,3
110,83471,4
113,2689164,1
113,1983272,2
113,1698237,3
113,3462527,4
121,1610040,1
121,3009766,2
121,2665816,3
121,876500,4
124,2197978,1
124,2607410,2
124,3278139,3
124,3426593,4
128,392271,1
128,3079941,2
128,848753,3
128,3246511,4
134,861346,1
134,3105501,2
134,2046877,3
134,2180579,4
135,3122848,1
144,2147136,1
144,2699479,1
144,2244815,2
144,1292135,2
144,2509481,3
144,1154477,4
148,1146350,1
148,3519356,2
148,3519473,3
148,3519388,4
150,1639373,1
150,3253056,2
150,1040849,3
150,1968161,4
152,1190192,1
152,1121265,2
152,358175,3
152,3202684,4
153,2865083,1
153,2159639,2
153,1797069,3
153,3509956,4
154,2607410,1
154,1214543,2
154,3375959,4
155,1890414,1
155,745634,2
155,2637759,3
155,3022370,4
156,342494,1
156,34717,2
156,3537882,3
156,1817602,4
157,1317531,1
157,2402369,2
157,1764008,3
157,3432422,4
159,3292476,1
159,2417219,2
159,1030614,3
159,497768,4
160,2427794,1
160,906691,2
160,480203,3
160,633897,4
161,488921,1
161,3221741,2
161,488906,3
161,488918,4
162,133985,1
162,3076964,2
162,533930,3
162,1430684,4
163,2427794,1
163,2126988,2
163,2647481,3
163,396877,4
166,2842409,1
166,177552,2
166,3163317,3
166,1848153,4
167,451724,1
167,809646,2
167,3501181,3
167,486457,4
168,1915308,1
168,347208,2
168,3679361,3
168,2039525,4
170,2436957,1
170,1075022,2
170,376219,3
170,2284324,4
171,1892087,1
171,3397626,2
171,1049548,3
171,1203451,4
172,2177848,1
172,98791,2
172,2046877,3
172,1840882,4
173,2101847,1
173,2752192,2
173,2324717,3
173,610052,4
174,723579,1
174,3084891,2
174,1799208,3
174,386339,4
175,316365,1
175,3191522,2
175,1605054,3
175,3876605,4
176,126839,1
176,1681884,3
176,1286078,4
177,817852,1
177,3350958,2
177,133453,3
177,3210369,4
178,1682598,1
178,2639982,2
178,1335137,3
178,382871,4
179,2882811,1
179,1355752,2
179,1303401,3
179,2961547,4
180,2610760,1
180,248420,2
180,349329,3
180,750065,4
183,3319924,1
183,1880537,2
183,802564,3
183,734371,4
185,863219,1
185,3426176,2
185,89972,3
185,2828120,4
186,3563320,1
186,567791,2
186,634663,3
186,3412990,4
188,2937064,1
188,839717,2
188,2639168,3
188,962853,4
189,3426176,1
189,193280,2
189,1669737,3
189,2725700,4
192,2663373,1
192,1394209,2
192,3000532,3
192,1813163,4
193,673308,1
193,2552744,2
193,812334,3
193,1167048,4
195,1197903,1
195,1398215,2
195,1562843,3
195,2454190,4
197,713208,1
197,2642640,2
197,3283242,3
197,2126988,4
200,2228802,1
200,3360805,2
200,1472901,3
200,1605486,4
201,579260,1
201,2273306,2
201,2686149,3
201,2679103,4
203,2062006,1
203,234347,2
203,1488653,3
203,3081354,4
204,3321940,1
204,2331674,2
204,1912771,3
204,396705,4
207,470697,1
207,1096112,2
207,108374,3
207,332882,4
214,952910,1
214,2863169,2
214,2907111,3
214,1852405,4
215,2015522,1
215,1487900,2
215,3919458,3
215,2458755,4
217,3014781,1
217,3520177,2
217,2639982,3
217,1480185,4
220,1682598,1
220,2893082,2
220,3488403,3
220,2728381,4
225,2149503,1
225,316652,2
225,2730911,3
225,1097529,4
227,3894592,1
227,1197903,2
227,2482172,3
227,3439065,4
228,2643714,1
228,3274062,2
228,3518335,3
228,1813146,4
229,358175,1
229,515252,2
229,3105501,3
229,2182488,4
231,967516,1
231,868695,2
231,1493930,3
231,1235785,4
232,2860989,1
232,1519420,2
232,3486441,3
232,110606,4
233,565786,1
233,1273155,2
233,3520350,3
233,2607410,4
235,490844,1
235,3920321,2
235,1422874,3
235,3762843,4
238,837734,1
238,3246511,2
238,3718668,3
238,2125863,4
244,798381,1
244,18945,2
244,2993512,3
244,798187,4
245,3317661,1
245,3920933,2
245,3532098,3
245,3197348,4
247,1698048,1
247,1234201,2
247,3638539,3
247,3757351,4
250,1929540,1
250,3650577,2
250,1463258,3
250,1073548,4
251,1808442,1
251,2131839,2
251,3373168,3
251,1480368,4
254,2055016,1
254,571873,2
254,3810650,3
254,1276669,4
255,451724,1
255,720541,2
255,2745846,3
255,2340377,4
257,363270,1
257,1072668,2
257,328662,3
257,3121075,4
259,3651189,1
259,322458,2
259,2583650,3
259,3362378,4
261,3623952,1
261,2371706,2
261,3261108,3
261,2374847,4
264,1808442,1
264,1014988,2
264,1856129,3
264,3501181,4
268,166843,1
268,2657985,2
268,3087282,3
268,2083024,4
269,3253056,1
269,2665816,2
269,2206239,3
269,848349,4
273,1444419,1
273,3174808,2
273,1206914,3
273,1279246,4
274,3035958,1
274,938435,2
274,362108,3
274,1485984,4
275,102497,1
275,3537518,2
275,1483828,3
275,2417332,4
277,1701547,1
277,467242,2
277,3600644,3
277,3948625,4
278,2131839,1
278,116733,2
278,1698048,3
278,2842409,4
279,1649115,1
279,3793511,2
279,2476829,3
279,3035958,4
280,2963551,1
280,1639373,2
280,3610484,3
280,1331761,4
286,936871,2
286,3283242,3
286,2126988,4
287,3820374,1
287,608635,2
287,3120951,3
287,533930,4
288,3506927,1
288,1590325,2
288,3198738,3
288,80029,4
289,3403260,1
289,2036820,2
289,193280,3
289,2644846,4
290,1001713,1
290,3649029,2
290,755967,3
290,2164669,4
297,1928516,1
297,2467415,2
297,353658,3
297,3838859,4
298,2331674,1
298,1590830,2
298,713208,3
298,2057201,4
310,750592,1
310,3663483,2
310,504044,3
310,3216490,4
314,1983799,1
314,2164831,2
314,524376,3
314,3290723,4
317,2965281,1
317,638822,2
317,1490600,3
317,2204197,4
318,957278,1
318,3068482,2
318,2098055,3
318,3395207,4
324,3543919,1
324,1049548,2
324,3893631,3
324,945675,4
326,2196606,1
326,747003,2
326,2170568,3
326,315682,4
329,1891780,1
329,2580642,2
329,3228714,3
329,1749782,4
330,691328,1
330,2164793,2
330,563783,3
330,2866964,4
331,2702397,1
331,2795782,2
331,801731,3
331,1470056,4
334,565786,1
334,579260,2
334,3283242,3
334,3757998,4
335,2427794,1
335,3316518,2
335,487944,3
335,2170491,4
336,2724050,1
336,1846897,2
336,778422,3
336,260226,4
339,3271077,1
339,3059385,2
339,2798681,3
339,3147372,4
341,358175,1
341,2816072,2
341,3943267,3
341,1350634,4
344,477465,1
344,3693745,2
344,863219,3
344,3688730,4
345,498837,1
345,3909511,2
345,3815452,3
345,1733191,4
346,737113,1
346,506840,2
346,2602501,3
346,533930,4
348,3085859,1
348,3894926,2
348,3940411,3
348,3331228,4
349,3927245,1
349,1339409,2
349,1170076,3
349,3068970,4
351,1121265,1
351,2505340,2
351,2841950,3
351,177901,4
353,925996,1
353,3915210,2
353,2947621,3
353,1036355,4
354,863219,1
354,725861,2
354,334011,3
354,926643,4
355,665574,1
355,3781932,2
355,1877308,3
355,2802968,4
358,328662,1
358,2959123,2
358,3536972,3
358,1799457,4
362,1892087,1
362,2520212,2
362,1061520,3
362,2462778,4
365,817635,1
365,2963551,2
365,793369,3
365,871597,4
366,3274062,1
366,2058183,2
366,281291,3
366,778422,4
367,1656833,1
367,3568258,2
367,1174510,3
367,2118643,4
369,3651189,1
369,952910,2
369,2991322,3
369,2532241,4
376,2354209,1
376,3670462,2
376,2112706,3
376,1488624,4
377,2055016,1
377,2827790,2
377,89972,3
377,1760831,4
378,785961,1
378,3650577,2
378,2728498,3
378,3331228,4
379,1654035,1
379,3544742,2
379,2164831,3
379,3462527,4
380,470697,1
380,1853425,2
380,906691,3
380,67729,4
390,2354209,1
390,1129540,2
390,3900269,3
390,389863,4
391,1838425,1
391,3916025,2
391,1917745,3
391,1353365,4
407,3123440,1
407,1129540,2
407,1348940,3
407,2828120,4
410,752528,1
410,316365,2
410,2015522,3
410,691328,4
412,613386,1
412,674854,2
412,3486441,3
412,690882,4
413,3768323,1
413,3360720,2
413,3321940,3
413,2639982,4
414,1653805,1
414,647626,2
414,2661961,3
414,3744158,4
417,1610040,1
417,2265459,2
417,2312399,3
417,443082,4
418,2289950,1
418,494272,2
418,165479,3
418,2273306,4
420,276180,1
420,1121265,2
420,2587035,3
420,276228,4
422,3253056,1
422,1121265,2
422,243852,3
422,3737357,4
423,1198554,1
423,3815456,2
423,2599013,3
423,1611100,4
424,2016406,1
424,2941692,2
424,1760831,3
424,2142851,4
428,1724647,1
428,1771377,2
428,3406560,3
428,1309137,4
429,490844,1
429,2191983,2
429,1366839,3
429,1730166,4
431,2177848,1
431,1344469,2
431,1957478,3
431,3836438,4
432,1213222,1
432,1771613,2
432,1029775,3
432,110606,4
433,2476829,1
433,3341790,2
433,220276,3
433,3890308,4
437,1208483,1
437,3894592,2
437,1276669,3
437,625351,4
438,1355746,1
438,2563151,2
438,3168573,3
438,68330,4
439,2177848,1
439,2149503,2
439,2724050,3
439,954110,4
441,3813562,1
441,2700081,2
441,1586329,3
441,2874941,4
442,98791,1
442,2941692,2
442,3462527,3
442,3943267,4
445,276180,1
445,3638539,2
445,3536972,3
445,1034770,4
448,3383540,1
448,1246369,2
448,2230437,3
448,234741,4
452,1915308,1
452,3543919,2
452,2613641,3
452,2039525,4
453,1643213,1
453,673308,2
453,1072668,3
453,3930738,4
455,1754613,1
455,906691,2
455,631042,3
455,2211833,4
457,493309,1
457,516826,2
457,3078802,3
457,1975680,4
458,2710912,1
458,3836381,2
458,3382898,3
458,3389414,4
461,1790817,1
461,77860,2
461,2401037,3
461,971622,4
462,1651286,1
462,3667504,2
462,1808121,3
462,2774742,4
463,2090271,1
463,276228,2
463,3015969,3
463,482084,4
464,2860989,1
464,2761209,2
464,3762843,3
464,3621123,4
467,1894429,1
467,1441513,2
467,643112,3
467,3385452,4
469,1666874,1
469,3931053,2
469,283398,3
469,3188085,4
471,637425,1
471,1411574,2
471,3649029,3
471,1483828,4
472,533257,1
472,2821463,1
472,1196925,2
472,3810650,3
472,979208,4
477,1640610,1
477,2867197,2
477,837734,3
477,102497,4
478,1808442,1
478,3257043,2
478,1536838,3
478,618247,4
480,262292,1
480,1234201,2
480,2911077,3
480,2579810,4
481,892491,1
481,3728508,2
481,2265459,3
481,2698742,4
482,2055016,1
482,6699,2
482,354695,3
482,513037,4
485,1060304,1
485,1355926,2
485,3775078,3
485,1913660,4
486,3014781,1
486,516826,2
486,2147136,3
486,3301462,4
487,128645,1
487,3202684,2
487,1846897,3
487,3465492,4
489,46098,1
489,3190729,2
489,16433,3
489,2795782,4
490,2331100,1
490,2254125,2
490,3309466,3
490,2294629,4
491,1983799,1
491,2062006,2
491,2665816,3
491,1309137,4
493,3717370,1
493,1667503,2
494,276577,1
494,2650305,2
494,3756760,3
494,2528669,4
496,584294,1
496,3688385,2
496,3520177,3
496,1040887,4
497,2474536,1
497,2947621,2
497,285029,3
497,713369,4
502,2495559,1
502,37824,2
502,3306189,3
502,2081647,4
503,3783362,1
503,483729,2
503,2156924,3
503,250646,4
505,925996,1
505,2427794,2
505,3366843,3
505,1190157,4
510,181775,1
510,3360720,2
510,166808,3
510,313215,4
513,571873,1
513,993095,2
513,1898484,3
513,172834,4
514,451724,1
514,2149503,2
514,1167048,3
514,2240249,4
516,310985,1
516,1391126,1
516,3650657,2
516,3301307,3
516,1826024,4
517,658918,1
